Intervention,Category,2005_2006,2015_2016,2019_2021
Demand for FP satisfied,Pre/During Pregnancy,83.0,78.0,83.0
Iodized salt,Pre/During Pregnancy,59.0,93.0,95.0
ANC first trimester,Pre/During Pregnancy,39.0,53.0,75.0
4+ ANC,Pre/During Pregnancy,,36.0,57.0
Received MCP card,Pre/During Pregnancy,42.0,92.0,97.0
Received IFA tab/syrup,Pre/During Pregnancy,63.0,83.0,93.0
Tetanus injection,Pre/During Pregnancy,71.0,90.0,95.0
Deworming (pregnancy),Pre/During Pregnancy,3.0,18.0,34.0
Weighing (pregnancy),Pre/During Pregnancy,54.0,94.0,99.0
Birth preparedness counselling,Pre/During Pregnancy,1.0,,
Breastfeeding counselling,Pre/During Pregnancy,20.0,80.0,93.0
Counselling on keeping baby warm,Pre/During Pregnancy,,74.0,89.0
Cord care counselling,Pre/During Pregnancy,,71.0,87.0
Food supplementation (pregnancy),Pre/During Pregnancy,31.0,70.0,84.0
Health & nutrition education (pregnancy),Pre/During Pregnancy,22.0,54.0,80.0
Malaria prevention – bed nets,Pre/During Pregnancy,,38.0,
Institutional birth,Delivery/Postnatal,26.0,81.0,91.0
Financial assistance (JSY),Delivery/Postnatal,,,55.0
Skilled birth attendant,Delivery/Postnatal,33.0,78.0,89.0
Postnatal care for mothers,Delivery/Postnatal,25.0,55.0,84.0
Postnatal care for babies,Delivery/Postnatal,1.0,17.0,84.0
Food supplementation (postnatal),Delivery/Postnatal,27.0,65.0,82.0
Health & nutrition education (postnatal),Delivery/Postnatal,18.0,48.0,78.0
Health checkup (ICDS),Delivery/Postnatal,18.0,54.0,79.0
Full immunization,Childhood,40.0,54.0,77.0
Vitamin A,Childhood,16.0,66.0,78.0
Pediatric IFA,Childhood,3.0,26.0,49.0
Deworming (child),Childhood,4.0,30.0,46.0
Care seeking for ARI,Childhood,52.0,71.0,64.0
ORS during diarrhea,Childhood,30.0,55.0,65.0
Zinc during diarrhea,Childhood,0.0,27.0,36.0
Food supplementation (6–35 months),Childhood,34.0,71.0,
Weighing (child),Childhood,39.0,58.0,78.0
Counselling on child growth,Childhood,62.0,62.0,83.0
Preschool (AWC),Childhood,29.0,42.0,63.0
Health checkup (AWC),Childhood,32.0,52.0,73.0
